"id" "irow" "adjpvalue" "model" "nbpar" "b" "c" "d" "e" "f" "SDres" "typology" "trend" "y0" "yrange" "maxychange" "xextrem" "yextrem" "BMD.zSD" "BMR.zSD" "BMD.xfold" "BMR.xfold" "BMD.zSD.lower" "BMD.zSD.upper" "BMD.xfold.lower" "BMD.xfold.upper" "nboot.successful"
"c00134" 2802 0.000276236928367655 "linear" 2 -0.217935781575559 NA 10.8510453479951 NA NA 0.416954127922425 "L.dec" "dec" 10.8510453479951 1.44513216762753 1.44513216762753 NA NA 1.91319720381881 10.4340912200726 4.97901045415665 9.76594081319556 1.25476147931779 2.75891408277804 3.9447678541237 Inf 500
"c00276" 39331 9.40168451909696e-07 "exponential" 3 1.49943588625271 NA 12.4282123053309 -2.19822958973417 NA 0.286848919500623 "E.dec.convex" "dec" 12.4282123053309 1.42600638034163 1.42600638034163 NA NA 0.466756452945727 12.1413633858303 3.88046583506768 11.1853910747978 0.242965013146158 0.825419335659166 2.32365502839568 Inf 497
"c00281" 41217 2.89466896262405e-06 "exponential" 3 1.40817222023994 NA 12.4118703945547 -2.40522886653824 NA 0.28115970633033 "E.dec.convex" "dec" 12.4118703945547 1.31877070394082 1.31877070394082 NA NA 0.535697929686699 12.1307106882244 5.12829134781651 11.1706833550993 0.282445827668561 0.925244314841843 2.78927717699981 Inf 495
"c00322" 52577 0.00187537075187344 "exponential" 3 0.00180539400550552 NA 16.4105356511403 1.15276146274384 NA 0.145301785231112 "E.inc.convex" "inc" 16.4105356511403 0.56672401085147 0.56672401085147 NA NA 5.07259145724476 16.5558374363714 NA 18.0515892162543 2.64963205043696 5.57276861686199 Inf Inf 332
"c00323" 52590 0.00182530535241054 "exponential" 3 1.48604715169026 NA 15.3306843196931 -2.3130993252709 NA 0.523440731183732 "E.dec.convex" "dec" 15.3306843196931 1.40151275979767 1.40151275979767 NA NA 1.00441788004349 14.8072435885094 NA 13.7976158877238 0.388097798382087 2.354896280105 3.0627893699033 Inf 466
"c00380" 53968 0.0004159967613545 "exponential" 3 1.3195805439082 NA 14.5333219537176 -2.51861289012015 NA 0.394919927963473 "E.dec.convex" "dec" 14.5333219537176 1.22473300106977 1.22473300106977 NA NA 0.895725600432827 14.1384020257542 NA 13.0799897583459 0.365881038351625 2.08994530054675 4.57510698531958 Inf 469
"c00398" 54508 1.66820475145074e-05 "linear" 2 -0.140576190843726 NA 12.9488316420278 NA NA 0.206677775873734 "L.dec" "dec" 12.9488316420278 0.932160721484744 0.932160721484744 NA NA 1.47021892280103 12.742153866154 NA 11.653948477825 1.04939875136151 1.95032673616771 Inf Inf 500
"c00510" 57776 0.00157780501975296 "exponential" 3 -0.00921413344662652 NA 9.25442989828386 1.36882957551585 NA 0.495384993076586 "E.dec.concave" "dec" 9.25442989828386 1.16109490173816 1.16109490173816 NA NA 5.4794600460083 8.75904490520728 6.32322773626019 8.32898690845548 2.77851984321187 6.08367106713444 4.96739512889754 Inf 321
"c00533" 58705 0.00806973842330813 "Gauss-probit" 4 4.84649642064991 16.6324298921271 16.6324298921271 3.03331504745744 -8.52481135518593 0.674880069578534 "GP.U" "U" 9.62396060561997 2.05299866971317 1.51634206867882 3.03331504745744 8.10761853694116 0.823736546559003 8.94908053604144 1.25671392091978 8.66156454505798 0.546969646834586 1.39418596632843 0.937336268333496 4.38688183128921 260
"c00590" 60306 0.00328388529625744 "linear" 2 0.122610851964811 NA 11.4984575493688 NA NA 0.343597483956971 "L.inc" "inc" 11.4984575493688 0.813032559378662 0.813032559378662 NA NA 2.80234154196712 11.8420550333258 NA 12.6483033043057 1.79201211591548 5.1542756803961 6.46651928631871 Inf 500
"c00628" 61115 5.38857499924166e-07 "exponential" 3 0.049237938502378 NA 15.772589969172 1.89647006875052 NA 0.315435641880046 "E.inc.convex" "inc" 15.772589969172 1.57559523836876 1.57559523836876 NA NA 3.79737449987894 16.0880256110521 NA 17.3498489660892 1.99350628403999 5.04568812311553 6.13758924789803 Inf 469
"c00678" 1291 6.03231952535869e-07 "exponential" 3 -0.0753597091414757 NA 11.9693066504759 2.09080685384494 NA 0.254356418321007 "E.dec.concave" "dec" 11.9693066504759 1.72146380490925 1.72146380490925 NA NA 3.08594580742189 11.7149502321549 5.90924998014258 10.7723759854283 1.71860602781556 4.46219896698039 5.34546334485556 6.29857972567624 496
"c00689" 1660 3.71142056184777e-05 "linear" 2 -0.139668925762644 NA 9.94255859745194 NA NA 0.253915334947338 "L.dec" "dec" 9.94255859745194 0.926144646732093 0.926144646732093 NA NA 1.81798015242737 9.6886432625046 NA 8.94830273770674 1.15658338327346 2.6351645635523 5.57265725441397 Inf 500
"c00694" 1760 0.000839430956205444 "Gauss-probit" 4 1.90135008177573 12.6732508664317 12.6732508664317 2.52263217601758 -0.907459477638415 0.214411914812607 "GP.U" "U" 12.2969063474314 0.819559504514023 0.531114958638121 2.52263217601758 11.7657913887933 0.760953480369616 12.0824944326188 NA 13.5265969821746 0.467182966347628 0.995028122765258 Inf Inf 438
"c00847" 5295 0.00988451396025408 "linear" 2 -0.12664487251339 NA 14.6496705567253 NA NA 0.379731735492998 "L.dec" "dec" 14.6496705567253 0.83978214963629 0.83978214963629 NA NA 2.99839802399302 14.2699388212323 NA 13.1847035010528 1.71972683940685 5.25468516479634 Inf Inf 500
"c00941" 7809 0.00433521919829972 "linear" 2 -0.0765013802958357 NA 9.39134760616088 NA NA 0.187668476407341 "L.dec" "dec" 9.39134760616088 0.507280652741686 0.507280652741686 NA NA 2.4531384359552 9.20367912975354 NA 8.45221284554479 1.52079518341315 3.81973000657657 Inf Inf 500
"c00973" 8280 0.0068033718769317 "exponential" 3 -0.772784660124809 NA 7.23626960402858 -2.37520140368148 NA 0.30192346278208 "E.inc.concave" "inc" 7.23626960402858 0.725402907975884 0.725402907975884 NA NA 1.17676284825081 7.53819306681066 6.54360134541664 7.95989656443144 0.467605698010614 2.89421639818127 1.9440163175299 Inf 443
"c01041" 9614 0.000260796060331742 "exponential" 3 1.52898067748067 NA 7.34428374168665 -1.38003787678531 NA 0.508724557437026 "E.dec.convex" "dec" 7.34428374168665 1.51645956790916 1.51645956790916 NA NA 0.558291004961396 6.83555918424962 0.903342092370321 6.60985536751798 0.217449453660123 1.54716271633337 0.428071765486252 2.5957963271795 491
"c01086" 11272 0.00176887233255828 "exponential" 3 0.00350165769788574 NA 12.3692608340893 1.18158165627436 NA 0.40124686918633 "E.inc.convex" "inc" 12.3692608340893 0.954841389652797 0.954841389652797 NA NA 5.61254768691376 12.7705077032757 NA 13.6061869174983 2.98890564263667 6.1145881023784 6.33905245886832 Inf 306
"c01117" 12251 0.00263466445626136 "linear" 2 0.154352028408725 NA 15.102188083882 NA NA 0.379527736900239 "L.inc" "inc" 15.102188083882 1.02350830037826 1.02350830037826 NA NA 2.4588451529464 15.4817158207822 NA 16.6124068922702 1.54015368040253 3.73110466741949 Inf Inf 500
"c01133" 12630 0.00492243525646709 "Gauss-probit" 4 2.07577001217901 9.84385405554112 9.84385405554112 3.16881402827803 1.45865023347205 0.275990700181409 "GP.bell" "bell" 10.2987435594838 1.09568239991067 1.00376072952933 3.16881402827803 11.3025042890132 0.728539624459062 10.5747342596652 NA 9.26886920353545 0.373276291517329 1.21058422118741 1.95127314212267 Inf 417
