"contig" "path_class"
"c00134" "Energy metabolism"
"c00276" "Nucleotide metabolism"
"c00281" "Nucleotide metabolism"
"c00322" "Translation"
"c00323" "Metabolism of cofactors and vitamins"
"c00380" "Folding, sorting and degradation"
"c00398" "Energy metabolism"
"c00510" "Folding, sorting and degradation"
"c00533" "Metabolism of cofactors and vitamins"
"c00590" "Carbohydrate metabolism"
"c00628" "Translation"
"c00678" "Carbohydrate metabolism"
"c00689" "Carbohydrate metabolism"
"c00694" "Metabolism of cofactors and vitamins"
"c00847" "Amino acid metabolism"
"c00941" "Lipid metabolism"
"c00941" "Metabolism of cofactors and vitamins"
"c00941" "Carbohydrate metabolism"
"c00973" "Metabolism of other amino acids"
"c00973" "Amino acid metabolism"
"c00973" "Carbohydrate metabolism"
"c01041" "Translation"
"c01086" "Folding, sorting and degradation"
"c01086" "Replication and repair"
"c01117" "Energy metabolism"
"c01133" "Lipid metabolism"
"c01155" "Lipid metabolism"
"c01167" "Carbohydrate metabolism"
"c01233" "Folding, sorting and degradation"
"c01250" "Carbohydrate metabolism"
"c01250" "Energy metabolism"
"c01318" "Nucleotide metabolism"
"c01370" "Translation"
"c01424" "Metabolism of cofactors and vitamins"
"c01433" "Carbohydrate metabolism"
"c01438" "Translation"
"c01442" "Nucleotide metabolism"
"c01447" "Energy metabolism"
"c01449" "Membrane transport"
"c01490" "Carbohydrate metabolism"
"c01613" "Nucleotide metabolism"
"c01613" "Carbohydrate metabolism"
"c01616" "Translation"
"c01629" "Amino acid metabolism"
"c01643" "Signal transduction"
"c01645" "Carbohydrate metabolism"
"c01645" "Metabolism of other amino acids"
"c01645" "Amino acid metabolism"
"c01739" "Translation"
"c01924" "Metabolism of other amino acids"
"c01924" "Xenobiotics biodegradation and metabolism"
"c01952" "Amino acid metabolism"
"c01952" "Metabolism of cofactors and vitamins"
"c01977" "Metabolism of cofactors and vitamins"
"c01978" "Metabolism of cofactors and vitamins"
"c02004" "Translation"
"c02010" "Lipid metabolism"
"c02083" "Amino acid metabolism"
"c02160" "Translation"
"c02216" "Metabolism of cofactors and vitamins"
"c02385" "Metabolism of cofactors and vitamins"
"c02486" "Carbohydrate metabolism"
"c02486" "Amino acid metabolism"
"c02572" "Translation"
"c02651" "Amino acid metabolism"
"c02837" "Metabolism of other amino acids"
"c02837" "Carbohydrate metabolism"
"c02877" "Translation"
"c02913" "Transcription"
"c02955" "Glycan biosynthesis and metabolism"
"c02955" "Lipid metabolism"
"c02955" "Carbohydrate metabolism"
"c02964" "Membrane transport"
"c03046" "Amino acid metabolism"
"c03076" "Replication and repair"
"c03087" "Carbohydrate metabolism"
"c03088" "Metabolism of terpenoids and polyketides"
"c03094" "Folding, sorting and degradation"
"c03117" "Folding, sorting and degradation"
"c03134" "Energy metabolism"
"c03146" "Energy metabolism"
"c03147" "Signal transduction"
"c03150" "Translation"
"c03162" "Glycan biosynthesis and metabolism"
"c03232" "Nucleotide metabolism"
