"id" "model" "y0" "b" "c" "d" "e" "f" "yrange" "trend" "typology" "BMD.zSD" "BMD.zSD.lower" "BMD.zSD.upper"
"NAP_2" "exponential" 5.941895801 0.459812418 NA 5.941895801 -1.647958408 NA 0.455667172 "dec" "E.dec.convex" 0.527966758 0.217604571 1.073838233
"NAP_23" "exponential" 5.36330265 -0.197552057 NA 5.36330265 6.322630092 NA 0.476521654 "dec" "E.dec.concave" 2.074673636 1.051946895 3.375304396
"NAP_30" "linear" 7.859109428 -0.045078322 NA 7.859109428 NA NA 0.349807782 "dec" "L.dec" 1.154267746 0.77220679 1.496268337
"NAP_38" "exponential" 6.85790948 0.601067701 NA 6.85790948 -0.321316339 NA 0.601067701 "dec" "E.dec.convex" 0.158254184 0.05417589 0.5836365
"NAP_42" "exponential" 6.209286289 0.672102268 NA 6.209286289 -0.323028079 NA 0.672102268 "dec" "E.dec.convex" 0.18215463 0.069390063 0.739915693
"NAP_52" "log-Gauss-probit" 7.288883257 0.450085898 7.202002579 7.288883257 1.308722021 -0.143678144 0.191278996 "U" "lGP.U" 0.731529767 0.380417703 1.037626543
"NAP_54" "exponential" 6.868523058 0.452065404 NA 6.868523058 -0.625454884 NA 0.452063555 "dec" "E.dec.convex" 0.252818625 0.080769314 0.620445027
"NAP_56" "exponential" 7.558481221 0.439250828 NA 7.558481221 -0.264979828 NA 0.439250828 "dec" "E.dec.convex" 0.113963492 0.040149132 0.49713354
"NAP_58" "linear" 6.467465701 -0.019381271 NA 6.467465701 NA NA 0.150398661 "dec" "L.dec" 2.976628929 1.619904031 5.144815019
"NAP_73" "linear" 5.738301792 -0.057878422 NA 5.738301792 NA NA 0.449136556 "dec" "L.dec" 2.026115613 1.249519636 2.988577376
"NAP47_51" "linear" 7.34357056 -0.05600559 NA 7.34357056 NA NA 0.434603379 "dec" "L.dec" 2.223739275 0.99073932 4.216229812
"NP_121" "linear" 5.330171142 0.061494749 NA 5.330171142 NA NA 0.477199255 "inc" "L.inc" 3.041893694 1.31359707 6.561218551
"NP_129" "exponential" 4.96847535 0.007786029 NA 4.96847535 2.02438852 NA 0.352027962 "inc" "E.inc.convex" 5.999765184 2.82746129 7.144213847
"NP_140" "Gauss-probit" 4.867514188 0.695528052 4.835774437 4.835774437 1.406946294 0.245555578 0.245555578 "bell" "GP.bell" 0.659783478 0.39917298 3.221409235
"NP_147" "exponential" 5.402328088 -0.031953883 NA 5.402328088 3.389561563 NA 0.283393661 "dec" "E.dec.concave" 3.846596812 1.870394344 5.855155276
"NP_33" "log-Gauss-probit" 4.917344787 0.615016999 4.917344787 4.917344787 3.223643719 0.453057315 0.453057315 "bell" "lGP.bell" 1.538905598 0.621435588 2.456588335
"NP_35" "Gauss-probit" 5.328111411 1.507578774 5.975143078 5.975143078 0.587585109 -0.698090948 0.698082459 "U" "GP.U" 2.244267111 0.413720772 3.403093037
"NP_43" "log-Gauss-probit" 5.633277732 0.820159863 5.633277732 5.633277732 3.435733112 0.438669619 0.438669619 "bell" "lGP.bell" 1.2247046 0.465712965 2.492898604
"NP_55" "Gauss-probit" 5.081882962 2.325273489 4.469882083 4.469882083 1.86785303 0.845024511 0.810938321 "bell" "GP.bell" 0.637085293 0.334798683 3.295414026
"NP_56" "exponential" 7.01876383 -0.004360528 NA 7.01876383 1.950984591 NA 0.228414379 "dec" "E.dec.concave" 5.122562504 2.467233175 6.35381008
"NP_59" "exponential" 4.491695328 -0.366781534 NA 4.491695328 -1.703149718 NA 0.362929882 "inc" "E.inc.concave" 1.197213748 0.359828128 4.365886531
"NP_60" "log-Gauss-probit" 5.254726005 0.811588198 5.254726005 5.254726005 3.953649003 0.530037693 0.530037693 "bell" "lGP.bell" 1.392226507 0.546486057 2.569798119
"NP_68" "Gauss-probit" 4.707014167 2.444950297 5.055577026 5.055577026 2.626966291 -0.620816376 0.552290943 "U" "GP.U" 0.82614628 0.460534152 1.266201079
"NP_69" "linear" 5.513855076 -0.05076324 NA 5.513855076 NA NA 0.39392274 "dec" "L.dec" 2.211189767 1.042759214 3.962953755
"NP_74" "log-Gauss-probit" 4.689787058 0.271541038 4.847402686 4.689787058 1.092349584 -0.414627154 0.498193793 "U" "lGP.U" 0.780531065 0.511159704 1.083676878
"NP_75_89" "linear" 4.629785237 0.117220221 NA 4.629785237 NA NA 0.909628914 "inc" "L.inc" 2.248498977 1.340522092 3.394571124
"NP_90" "exponential" 6.070523345 -0.268624151 NA 6.070523345 -1.111339851 NA 0.268374889 "inc" "E.inc.concave" 0.890852834 0.276286792 4.018105898
"NP_92" "exponential" 6.489151415 -0.004595689 NA 6.489151415 1.592145911 NA 0.596674124 "dec" "E.dec.concave" 5.79728642 2.75283211 6.582353976
"NP_94" "Gauss-probit" 5.525316182 3.01657566 4.862841585 4.862841585 1.389291168 0.736593714 0.657393914 "bell" "GP.bell" 3.94804176 0.634385014 4.800329279
"NP_96" "Gauss-probit" 5.817903134 2.409906466 5.216539825 5.216539825 1.927945337 0.828159653 0.783862315 "bell" "GP.bell" 1.874615554 0.482634963 5.966564227
"NP_98" "Gauss-probit" 5.436866655 1.880324628 5.908317178 5.908317178 1.370280948 -0.61483274 0.612922042 "U" "GP.U" 3.609465446 0.426916798 4.270619963
